"sp"	"x"	"y"
"Bradypus_variegatus"	-66.839152	10.494155
"Bradypus_variegatus"	-83.664421	8.642761
"Bradypus_variegatus"	-39.200282	-17.423446
"Bradypus_variegatus"	-75.23813	8.716516
"Bradypus_variegatus"	-82.713527	9.639746
"Bradypus_variegatus"	-54.661153	-2.454175
"Bradypus_variegatus"	-77.063826	-0.426305
"Bradypus_variegatus"	-54.60534	-2.503619
"Bradypus_variegatus"	-75.197235	9.867846
"Bradypus_variegatus"	-83.78566	10.184399
"Bradypus_variegatus"	-66.897434	10.535738
"Bradypus_variegatus"	-83.994139	9.334956
"Bradypus_variegatus"	-54.951355	-2.513556
"Bradypus_variegatus"	-46.532749	-23.396544
"Bradypus_variegatus"	-76.739563	8.181069
"Bradypus_variegatus"	-84.599655	10.47123
"Bradypus_variegatus"	-79.738009	0.461174
"Bradypus_variegatus"	-83.958943	10.150512
"Bradypus_variegatus"	-84.950319	10.608652
"Bradypus_variegatus"	-79.703074	9.119621
"Bradypus_variegatus"	-79.63962	0.578047
"Bradypus_variegatus"	-44.720428	-23.220022
"Bradypus_variegatus"	-79.744906	8.890086
"Bradypus_variegatus"	-73.58325	8.466687
"Bradypus_variegatus"	-84.147673	9.435161
"Bradypus_variegatus"	-84.70037	10.50425
"Bradypus_variegatus"	-78.539342	8.822741
"Bradypus_variegatus"	-83.813643	9.222805
"Bradypus_variegatus"	-73.089345	7.067848
"Bradypus_variegatus"	-66.050777	-11.031658
"Bradypus_variegatus"	-79.543405	9.554406
"Bradypus_variegatus"	-77.373965	6.298074
"Bradypus_variegatus"	-82.325084	9.40532
"Bradypus_variegatus"	-79.267821	0.11874
"Bradypus_variegatus"	-75.807059	4.74411
"Bradypus_variegatus"	-83.453715	9.981545
"Bradypus_variegatus"	-79.649268	9.07737
"Bradypus_variegatus"	-63.839038	-17.343277
"Bradypus_variegatus"	-73.33031	7.150594
"Bradypus_variegatus"	-34.842421	-7.132939
"Bradypus_variegatus"	-78.843927	1.269477
"Bradypus_variegatus"	-85.056236	10.719603
"Bradypus_variegatus"	-74.76917	5.671
"Bradypus_variegatus"	-75.540111	7.922564
"Bradypus_variegatus"	-66.09115	-11.013649
"Bradypus_variegatus"	-79.590772	8.90252
"Bradypus_variegatus"	-73.713231	6.822317
"Bradypus_variegatus"	-83.62304	8.828372
"Bradypus_variegatus"	-79.551018	9.002765
"Bradypus_variegatus"	-42.773567	-22.45336
"Bradypus_variegatus"	-82.211227	8.790019
"Bradypus_variegatus"	-83.753428	9.748917
"Bradypus_variegatus"	-82.236598	8.865922
"Bradypus_variegatus"	-78.682059	-4.049379
"Bradypus_variegatus"	-76.91137	0.111627
"Bradypus_variegatus"	-76.45913	-0.472253
"Bradypus_variegatus"	-77.242936	-0.563401
"Bradypus_variegatus"	-72.543301	-7.728313
"Bradypus_variegatus"	-75.158551	9.91659
"Bradypus_variegatus"	-60.234984	-3.082886
"Bradypus_variegatus"	-81.217727	8.786015
"Bradypus_variegatus"	-66.047766	-10.967692
"Bradypus_variegatus"	-77.951021	8.40749
"Bradypus_variegatus"	-82.482783	9.455221
"Bradypus_variegatus"	-44.218904	-2.529547
"Bradypus_variegatus"	-66.938081	10.355471
"Bradypus_variegatus"	-84.811554	10.639125
"Bradypus_variegatus"	-84.142258	9.386469
"Bradypus_variegatus"	-34.986671	-8.021379
"Bradypus_variegatus"	-67.05128	10.326909
"Bradypus_variegatus"	-46.617791	-23.648298
"Bradypus_variegatus"	-85.046626	10.992381
"Bradypus_variegatus"	-77.669361	-1.033012
"Bradypus_variegatus"	-83.778256	9.280914
"Bradypus_variegatus"	-77.813603	-0.996297
"Bradypus_variegatus"	-66.791408	10.438665
"Bradypus_variegatus"	-75.618895	8.419542
"Bradypus_variegatus"	-43.199864	-22.947558
"Bradypus_variegatus"	-75.679422	9.404172
"Bradypus_variegatus"	-40.31483	-20.330934
"Bradypus_variegatus"	-85.322363	10.881647
"Bradypus_variegatus"	-84.348614	10.44629
"Bradypus_variegatus"	-73.129639	-3.625062
"Bradypus_variegatus"	-78.892044	0.025173
"Bradypus_variegatus"	-79.835091	9.344544
"Bradypus_variegatus"	-75.42972	10.354817
"Bradypus_variegatus"	-76.922186	0.124508
"Bradypus_variegatus"	-84.728971	10.484371
"Bradypus_variegatus"	-84.78693	10.409754
"Bradypus_variegatus"	-64.903915	-14.834561
"Bradypus_variegatus"	-77.705318	8.156947
"Bradypus_variegatus"	-77.369541	6.336731
"Bradypus_variegatus"	-83.579346	8.531691
"Bradypus_variegatus"	-35.742144	-9.614132
"Bradypus_variegatus"	-82.571114	9.539036
"Bradypus_variegatus"	-82.158683	9.273689
"Bradypus_variegatus"	-76.17119	9.10899
"Bradypus_variegatus"	-83.511779	10.502237
"Bradypus_variegatus"	-83.920622	10.182591
"Bradypus_variegatus"	-83.603089	8.6988
"Bradypus_variegatus"	-84.968529	10.712353
"Bradypus_variegatus"	-75.635362	8.30337
"Bradypus_variegatus"	-76.179379	-0.031617
"Bradypus_variegatus"	-83.655256	9.894646
"Bradypus_variegatus"	-79.176331	-0.253544
"Bradypus_variegatus"	-59.850202	-2.724677
"Bradypus_variegatus"	-74.3811	4.760126
"Bradypus_variegatus"	-79.141302	0.144925
"Bradypus_variegatus"	-71.391683	-12.789389
"Bradypus_variegatus"	-34.991968	-7.974825
"Bradypus_variegatus"	-83.463984	10.432226
"Bradypus_variegatus"	-83.630822	8.84365
"Bradypus_variegatus"	-60.451617	-3.087518
"Bradypus_variegatus"	-77.659332	-1.00079
"Bradypus_variegatus"	-79.408493	9.215932
"Bradypus_variegatus"	-79.546808	8.984717
"Bradypus_variegatus"	-67.809819	-9.973852
"Bradypus_variegatus"	-35.764118	-9.609689
"Bradypus_variegatus"	-44.770865	-23.211431
"Bradypus_variegatus"	-64.961796	-14.788236
"Bradypus_variegatus"	-83.913405	10.173512
"Bradypus_variegatus"	-84.2059	10.301488
"Bradypus_variegatus"	-43.46687	-22.782587
"Bradypus_variegatus"	-86.834167	14.452016
"Bradypus_variegatus"	-82.819569	9.722904
"Bradypus_variegatus"	-82.382768	9.287786
"Bradypus_variegatus"	-84.617836	10.383282
"Bradypus_variegatus"	-77.395658	-1.232799
"Bradypus_variegatus"	-80.782127	8.537981
"Bradypus_variegatus"	-80.110776	8.614592
"Bradypus_variegatus"	-82.250258	9.272598
"Bradypus_variegatus"	-76.968687	-0.332299
"Bradypus_variegatus"	-43.272642	-22.479293
"Bradypus_variegatus"	-83.097703	8.436447
"Bradypus_variegatus"	-84.037893	10.473364
"Bradypus_variegatus"	-67.870938	-9.961025
"Bradypus_variegatus"	-34.87508	-7.914991
"Bradypus_variegatus"	-83.116508	9.9762
"Bradypus_variegatus"	-83.301003	8.38937
"Bradypus_variegatus"	-84.785199	10.891567
"Bradypus_variegatus"	-74.14311	11.15327
"Bradypus_variegatus"	-75.547963	10.422404
"Bradypus_variegatus"	-63.18716	-18.119742
"Bradypus_variegatus"	-79.908105	9.192116
"Bradypus_variegatus"	-79.168186	0.108095
"Bradypus_variegatus"	-84.10685	10.368847
"Bradypus_variegatus"	-84.839895	10.500657
"Bradypus_variegatus"	-69.175056	-12.593091
"Bradypus_variegatus"	-83.689505	8.693463
"Bradypus_variegatus"	-43.3055	-22.986724
"Bradypus_variegatus"	-84.592636	9.831946
"Bradypus_variegatus"	-72.917518	-3.257878
"Bradypus_variegatus"	-76.436883	-0.509705
"Bradypus_variegatus"	-80.070854	8.643978
"Bradypus_variegatus"	-82.313362	9.150797
"Bradypus_variegatus"	-73.405397	-4.390895
"Bradypus_variegatus"	-85.014941	10.645228
"Bradypus_variegatus"	-63.189628	-17.789505
"Bradypus_variegatus"	-39.169761	-16.3876
"Bradypus_variegatus"	-75.481328	8.631476
"Bradypus_variegatus"	-83.953178	10.334077
"Bradypus_variegatus"	-82.773331	9.658055
"Bradypus_variegatus"	-73.449998	-4.501145
"Bradypus_variegatus"	-82.864498	9.748437
"Bradypus_variegatus"	-83.859243	9.252496
"Bradypus_variegatus"	-46.479238	-23.583615
"Bradypus_variegatus"	-74.592238	-8.34364
"Bradypus_variegatus"	-83.026894	10.035266
"Bradypus_variegatus"	-86.055908	13.241951
"Bradypus_variegatus"	-84.470933	10.517313
"Bradypus_variegatus"	-83.033028	9.792723
"Bradypus_variegatus"	-83.591248	8.466338
"Bradypus_variegatus"	-73.910144	11.288955
"Bradypus_variegatus"	-79.841357	9.16258
"Bradypus_variegatus"	-75.325143	10.489651
"Bradypus_variegatus"	-46.979934	-24.288343
"Bradypus_variegatus"	-83.308849	8.69203
"Bradypus_variegatus"	-77.010222	-0.394998
"Bradypus_variegatus"	-83.187811	9.921391
"Bradypus_variegatus"	-60.687345	-3.244328
"Bradypus_variegatus"	-83.504845	9.003522
"Bradypus_variegatus"	-82.864062	9.429254
"Bradypus_variegatus"	-82.801638	9.327177
"Bradypus_variegatus"	-77.871638	8.153447
"Bradypus_variegatus"	-78.212862	8.763631
"Bradypus_variegatus"	-77.516615	7.620419
"Bradypus_variegatus"	-63.319666	-17.978131
"Bradypus_variegatus"	-79.647814	8.95044
"Bradypus_variegatus"	-47.782908	-5.172984
"Bradypus_variegatus"	-83.798767	9.864946
"Bradypus_variegatus"	-73.84056	7.771867
"Bradypus_variegatus"	-34.867424	-7.919148
"Bradypus_variegatus"	-35.00421	-7.967126
"Bradypus_variegatus"	-77.309	-0.690885
"Bradypus_variegatus"	-76.149058	9.024172
"Bradypus_variegatus"	-50.060353	-6.061336
"Bradypus_variegatus"	-76.870886	-0.287885
"Bradypus_variegatus"	-82.24255	8.733671
"Bradypus_variegatus"	-83.693159	9.972999
"Bradypus_variegatus"	-75.033276	9.120725
"Bradypus_variegatus"	-79.725459	-3.461541
"Bradypus_variegatus"	-76.99674	-0.402715
"Bradypus_variegatus"	-66.875337	10.414432
"Bradypus_variegatus"	-79.748244	-0.301144
"Bradypus_variegatus"	-43.404072	-21.80648
"Bradypus_variegatus"	-51.976227	-6.641455
"Bradypus_variegatus"	-43.449431	-23.018328
"Bradypus_variegatus"	-79.188	0.60981
"Bradypus_variegatus"	-79.413924	9.26179
"Bradypus_variegatus"	-80.686051	-1.024195
"Bradypus_variegatus"	-60.266944	-3.224205
"Bradypus_variegatus"	-81.216364	8.70676
"Bradypus_variegatus"	-35.9116	-9.609222
"Bradypus_variegatus"	-49.913112	-5.912677
"Bradypus_variegatus"	-44.606268	-22.455686
"Bradypus_variegatus"	-77.385555	0.010252
"Bradypus_variegatus"	-79.731926	-2.311391
"Bradypus_variegatus"	-79.839052	-3.394399
"Bradypus_variegatus"	-76.383508	-0.124434
"Bradypus_variegatus"	-66.811742	10.507327
